Team,Elo Rating
Argentina,2331.05
Italy,2188.48
Germany,2183.17
France,2009.27
Brazil,1885.69
Spain,1884.23
Croatia,1795.32
Netherlands,1789.4
Belgium,1708.49
England,1675.89
Czechoslovakia,1650.62
Uruguay,1650.39
Sweden,1647.9
Morocco,1624.2
Portugal,1613.97
Turkey,1602.73
Mexico,1599.13
Chile,1592.1
Yugoslavia,1584.55
Soviet Union,1570.92
Poland,1562.44
Ecuador,1559.16
Costa Rica,1557.06
Austria,1554.56
Colombia,1554.45
Denmark,1550.8
Norway,1548.15
Paraguay,1544.24
Senegal,1544.23
Republic of Ireland,1533.46
East Germany,1532.26
Ukraine,1529.89
Switzerland,1527.53
Russia,1526.43
Romania,1523.08
South Africa,1521.22
South Korea,1517.98
Israel,1512.32
Bulgaria,1508.19
Australia,1505.3
Peru,1504.52
Slovakia,1503.97
Ghana,1502.69
Ivory Coast,1500.36
Nigeria,1499.84
Hungary,1498.97
Jamaica,1496.33
Japan,1495.61
Bosnia and Herzegovina,1492.61
Czech Republic,1489.06
New Zealand,1484.39
Cameroon,1482.84
Kuwait,1481.91
Angola,1480.87
Iceland,1480.34
Algeria,1479.47
United States,1478.72
Trinidad and Tobago,1477.67
Scotland,1476.2
Serbia,1476.12
Northern Ireland,1475.51
Cuba,1467.04
Serbia and Montenegro,1462.8
Dutch East Indies,1462.51
Tunisia,1459.34
Wales,1458.79
Slovenia,1458.12
Qatar,1457.14
Togo,1455.53
China,1455.28
United Arab Emirates,1451.31
North Korea,1450.49
Zaire,1449.67
Haiti,1448.47
Panama,1445.74
Iran,1442.49
Greece,1438.3
Bolivia,1432.67
Iraq,1431.27
Canada,1418.25
Saudi Arabia,1415.17
Egypt,1413.49
Honduras,1409.63
El Salvador,1383.25
