team,elo
Brazil,2034.5827272727272
Italy,1947.9927272727275
Germany,1913.35
Argentina,1758.0272727272727
France,1694.0927272727274
England,1656.770909090909
Uruguay,1617.5436363636363
Spain,1617.3549999999998
Netherlands,1564.7722727272726
Sweden,1548.450909090909
Croatia,1548.0990909090908
Portugal,1542.4318181818182
Poland,1539.6795454545454
Czechoslovakia,1532.286818181818
Hungary,1529.0459090909092
Denmark,1522.3009090909093
Chile,1518.1772727272728
Soviet Union,1515.2959090909092
Austria,1512.7463636363636
Belgium,1510.5427272727275
Costa Rica,1510.169090909091
Ecuador,1507.2800000000002
Yugoslavia,1505.8322727272725
Cameroon,1505.421818181818
Senegal,1505.1445454545456
Republic of Ireland,1504.3513636363639
Paraguay,1504.010909090909
Turkey,1503.6936363636364
Ghana,1503.5218181818184
Norway,1502.705909090909
Nigeria,1502.0154545454543
Ivory Coast,1501.8804545454548
East Germany,1501.4663636363637
Ukraine,1501.3586363636364
South Africa,1500.5613636363635
Israel,1500.56
Algeria,1500.5113636363637
Slovakia,1500.1804545454545
Jamaica,1499.8331818181819
Russia,1499.7486363636365
Bosnia and Herzegovina,1499.6640909090909
Morocco,1499.567727272727
Czech Republic,1499.5027272727273
Kuwait,1499.1777272727275
Angola,1499.1304545454548
Iceland,1499.1063636363635
Trinidad and Tobago,1498.985
Serbia,1498.8654545454547
Cuba,1498.5018181818182
Serbia and Montenegro,1498.309090909091
Dutch East Indies,1498.2959090909092
Wales,1498.109090909091
Qatar,1498.0518181818181
Togo,1497.9786363636363
China,1497.9672727272728
Peru,1497.9013636363636
Australia,1497.8836363636365
United Arab Emirates,1497.786818181818
Northern Ireland,1497.7509090909089
Zaire,1497.7122727272726
Haiti,1497.6577272727272
Panama,1497.5336363636363
New Zealand,1497.3772727272728
Colombia,1497.1577272727272
North Korea,1497.0481818181818
Iraq,1496.8759090909089
Slovenia,1495.510909090909
Romania,1494.7481818181818
Scotland,1494.5009090909089
Canada,1493.885
Egypt,1493.2700000000002
Greece,1492.7254545454546
Bolivia,1492.5613636363635
Honduras,1492.5422727272728
El Salvador,1491.3836363636365
Tunisia,1489.8990909090908
South Korea,1489.4604545454545
Japan,1489.040909090909
Bulgaria,1485.8999999999999
Switzerland,1485.785
Iran,1484.7986363636364
Saudi Arabia,1483.5068181818183
Mexico,1470.3977272727273
United States,1467.090909090909
