Tournament Name,Stage Name,date,time,team1,team2,team1_score,team2_score,result,Home Team Win,Away Team Win,Draw,tournament_year,match_id,team1_elo_start,team2_elo_start,team1_elo_end,team2_elo_end
1930 FIFA World Cup,group stage,1930-07-13,15:00,France,Mexico,4,1,home team win,1,0,0,1930,1,1500.0,1500.0,1523.0,1477.0
1930 FIFA World Cup,group stage,1930-07-13,15:00,United States,Belgium,3,0,home team win,1,0,0,1930,2,1500.0,1500.0,1523.0,1477.0
1930 FIFA World Cup,group stage,1930-07-14,12:45,Yugoslavia,Brazil,2,1,home team win,1,0,0,1930,3,1500.0,1500.0,1521.0,1479.0
1930 FIFA World Cup,group stage,1930-07-14,14:50,Romania,Peru,3,1,home team win,1,0,0,1930,4,1500.0,1500.0,1522.0,1478.0
1930 FIFA World Cup,group stage,1930-07-15,16:00,Argentina,France,1,0,home team win,1,0,0,1930,5,1500.0,1523.0,1522.39,1500.61
1930 FIFA World Cup,group stage,1930-07-16,14:45,Chile,Mexico,3,0,home team win,1,0,0,1930,6,1500.0,1477.0,1521.48,1455.52
1930 FIFA World Cup,group stage,1930-07-17,12:45,Yugoslavia,Bolivia,4,0,home team win,1,0,0,1930,7,1521.0,1500.0,1543.55,1477.45
1930 FIFA World Cup,group stage,1930-07-17,14:45,United States,Paraguay,3,0,home team win,1,0,0,1930,8,1523.0,1500.0,1544.48,1478.52
1930 FIFA World Cup,group stage,1930-07-18,14:30,Uruguay,Peru,1,0,home team win,1,0,0,1930,9,1500.0,1478.0,1519.67,1458.33
1930 FIFA World Cup,group stage,1930-07-19,12:50,Chile,France,1,0,home team win,1,0,0,1930,10,1521.48,1500.61,1541.22,1480.87
1930 FIFA World Cup,group stage,1930-07-19,15:00,Argentina,Mexico,6,3,home team win,1,0,0,1930,11,1522.39,1455.52,1541.02,1436.89
1930 FIFA World Cup,group stage,1930-07-20,13:00,Brazil,Bolivia,4,0,home team win,1,0,0,1930,12,1479.0,1477.45,1502.89,1453.56
1930 FIFA World Cup,group stage,1930-07-20,15:00,Paraguay,Belgium,1,0,home team win,1,0,0,1930,13,1478.52,1477.0,1499.43,1456.09
1930 FIFA World Cup,group stage,1930-07-21,14:50,Uruguay,Romania,4,0,home team win,1,0,0,1930,14,1519.67,1522.0,1543.83,1497.84
1930 FIFA World Cup,group stage,1930-07-22,14:45,Argentina,Chile,3,1,home team win,1,0,0,1930,15,1541.02,1541.22,1563.03,1519.21
1930 FIFA World Cup,semi-finals,1930-07-26,14:45,Argentina,United States,6,1,home team win,1,0,0,1930,16,1563.03,1544.48,1631.66,1475.85
1930 FIFA World Cup,semi-finals,1930-07-27,14:45,Uruguay,Yugoslavia,6,1,home team win,1,0,0,1930,17,1543.83,1543.55,1616.27,1471.11
1930 FIFA World Cup,final,1930-07-30,14:15,Uruguay,Argentina,4,2,home team win,1,0,0,1930,18,1616.27,1631.66,1926.96,1545.97
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Austria,France,3,2,home team win,1,0,0,1934,19,1500.0,1480.87,1529.29,1451.58
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Czechoslovakia,Romania,2,1,home team win,1,0,0,1934,20,1500.0,1497.84,1530.81,1467.03
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Germany,Belgium,5,2,home team win,1,0,0,1934,21,1500.0,1456.09,1528.85,1427.24
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Hungary,Egypt,4,2,home team win,1,0,0,1934,22,1500.0,1500.0,1532.0,1468.0
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Italy,United States,7,1,home team win,1,0,0,1934,23,1500.0,1475.85,1533.5,1442.35
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Spain,Brazil,3,1,home team win,1,0,0,1934,24,1500.0,1502.89,1532.27,1470.62
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Sweden,Argentina,3,2,home team win,1,0,0,1934,25,1500.0,1545.97,1535.08,1510.89
1934 FIFA World Cup,round of 16,1934-05-27,16:00,Switzerland,Netherlands,3,2,home team win,1,0,0,1934,26,1500.0,1500.0,1531.0,1469.0
1934 FIFA World Cup,quarter-finals,1934-05-31,16:30,Austria,Hungary,2,1,home team win,1,0,0,1934,27,1529.29,1532.0,1575.65,1485.64
1934 FIFA World Cup,quarter-finals,1934-05-31,16:30,Czechoslovakia,Switzerland,3,2,home team win,1,0,0,1934,28,1530.81,1531.0,1576.84,1484.97
